geoid,latitude,longitude,system_name,system_type,sample_date,pfhxs_result,pfna_result,hfpoda_result,pfbs_result,hazard_index
NA,43.38727546583498,-82.51722627337324,Camp Ozanam,CHLCMP,2019/06/06 00:00:00+00,0,0,0,0,0
26057,43.3895661957674,-84.68600799699206,Gratiot Area Water Authority,MUN,2019/04/25 00:00:00+00,0,0,0,0,0
26117,43.391787456163186,-84.89249009065774,Vestaburg Community Schools,SCH,2018/07/09 00:00:00+00,0,0,0,0,0
26117,43.39275830991971,-84.99573657000053,GREAT LAKES ADVENTIST ACADEMY,MUN,2021/03/29 00:00:00+00,0,0,0,12,0.006
26157,43.393531826710465,-83.60148975357441,St Lukes Lutheran School,SCH,2018/10/15 00:00:00+00,0,0,0,0,0
26121,43.396875169593066,-86.33804344349852,CCP Discovery School,DAYCARE,2018/12/03 00:00:00+00,0,0,0,0,0
26121,43.39712040729834,-86.23479449362874,Blue Lake Fine Arts Camp,CHLCMP,2019/05/23 00:00:00+00,0,0,0,0,0
26123,43.39716366293243,-85.8217771282192,NEWAYGO,MUN,2022/08/10 00:00:00+00,10,0,0,3,1.0015
26121,43.397271834585915,-86.13154291712107,Pine Island Lake Rec Park,MUN,2018/07/10 00:00:00+00,0,0,0,0,0
26145,43.40493882151083,-84.22085100285956,Hemlock/Richland Township,MUN,2018/08/28 00:00:00+00,0,0,0,0,0
26145,43.40651523532397,-84.32410338527521,"Merrill, Village of",MUN,2018/08/28 00:00:00+00,0,0,0,0,0
26157,43.40951735927819,-83.34256114017528,The Fowler Center,CHLCMP,2019/06/06 00:00:00+00,0,0,0,0,0
26057,43.41068652512944,-84.6338949811675,Nesen's Countryside Acres,MUN,2018/08/29 00:00:00+00,0,0,0,0,0
26057,43.413001841802746,-84.8404467671903,Timber Country Mobile Home Park,MUN,2018/08/29 00:00:00+00,0,0,0,0,0
26151,43.41360642743641,-82.67072247753451,"Carsonville, Village of",MUN,2018/10/17 00:00:00+00,0,0,0,0,0
26117,43.41494419971431,-85.04701344597586,Edmore,MUN,2018/07/02 00:00:00+00,0,0,0,3,0.0015
26117,43.416513170805786,-85.2535912794947,Lakeview,MUN,2018/07/09 00:00:00+00,0,0,0,0,0
26117,43.417708344107446,-85.46017652437683,Howard City,MUN,2018/07/09 00:00:00+00,0,0,0,0,0
26123,43.4185293276842,-85.6667654302404,Newaygo County Child Dev Ctr,DAYCARE,2018/12/05 00:00:00+00,0,0,0,0,0
26121,43.4187434867792,-86.28651653097775,Viking Tool,INDUS,2019/08/07 00:00:00+00,0,0,0,0,0
26123,43.41879938034917,-85.77006008237026,Newaygo,MUN,2018/07/31 00:00:00+00,0,0,0,0,0
26121,43.41894229406899,-86.1832290523329,West Pine Island,MUN,2018/07/10 00:00:00+00,0,0,0,0,0
26121,43.419047245968194,-86.07993919652324,Holton District Service Building,SCH,2018/07/11 00:00:00+00,0,0,0,0,0
26151,43.41944677508587,-82.87709328804314,Sunset Mobile Home Park - Sanilac,MUN,2018/10/17 00:00:00+00,0,0,0,0,0
26145,43.42232046725832,-83.9620148837898,"Saginaw, City of",MUN,2019/05/03 00:00:00+00,0,0,0,0,0
26157,43.427516169056766,-83.18674263238873,"Kingston, Village of",MUN,2018/10/11 00:00:00+00,0,0,0,0,0
26057,43.43043843286526,-84.47844237679313,Village of Breckenridge,MUN,2018/08/29 00:00:00+00,0,0,0,0,0
NA,43.43069375321129,-82.51473167258791,"Port Sanilac, Village of",MUN,2018/10/17 00:00:00+00,0,0,0,0,0
26057,43.43178294904046,-84.58174587579084,"ST. LOUIS, CITY OF",MUN,2020/10/02 00:00:00+00,0,0,0,0,0
26151,43.433799695423595,-82.61792651149213,Carsonville-Port Sanilac Schs,SCH,2018/10/17 00:00:00+00,0,0,0,0,0
26117,43.43968460398106,-85.51164243121852,Tamarack Pines Estates,MUN,2018/07/09 00:00:00+00,0,0,0,0,0
26151,43.43973551529365,-82.8243569756366,"Sandusky, City of",MUN,2018/10/17 00:00:00+00,0,0,0,0,0
26121,43.4403425504525,-86.3382752784192,Montague,MUN,2018/07/05 00:00:00+00,0,0,0,0,0
26123,43.44063484286518,-85.82163743763493,Camp Henry,CHLCMP,2019/05/22 00:00:00+00,0,0,0,0,0
26123,43.4407641019427,-85.92496831321485,TRUENORTH,MUN,2020/11/18 11:45:00+00,0,0,0,0,0
26145,43.448400933668424,-84.2195648192925,St Peter's Lutheran School,SCH,2018/08/28 00:00:00+00,0,0,0,0,0
26157,43.45532896219723,-83.44394170269246,Caro Center,MUN,2018/10/11 00:00:00+00,0,0,0,0,0
26117,43.45841482435161,-85.04631771152415,Montabella Elementary School,SCH,2018/07/02 00:00:00+00,0,0,0,0,0
26157,43.459786819969864,-83.65055546491095,Pebble Creek Mobile Home Park,MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26123,43.462270659045124,-85.76988336655378,Nccs Camp Newaygo,CHLCMP,2019/05/22 00:00:00+00,0,0,0,0,0
26121,43.46241108466761,-86.18334974021275,Camp Pendalouan,CHLCMP,2019/05/22 00:00:00+00,0,0,0,0,0
26123,43.462528678636986,-85.9766193550842,FREMONT,MUN,2022/06/27 00:00:00+00,0,0,0,5.3,0.00265
26157,43.47587891577368,-83.39135570644062,"Caro, City of",MUN,2018/10/10 00:00:00+00,0,0,0,0,0
26123,43.48356660869692,-85.61468588841186,Four Seasons Trailer Park,MUN,2018/09/14 00:00:00+00,0,0,0,0,0
26127,43.48380980775708,-86.33850813594951,Greenlawn Mobile Home Court,MUN,2019/04/01 00:00:00+00,5,0,0,3,0.5015
26123,43.48410582567625,-85.82149798417554,Mcgaw Ymca Camp Echo,CHLCMP,2019/05/22 00:00:00+00,0,0,0,0,0
26123,43.48423460032714,-85.9249032555275,Fremont,MUN,2018/07/11 00:00:00+00,0,0,0,0,0
26157,43.49640424551473,-83.33873475550006,Pine Crest Mobile Home Park,MUN,2018/10/10 00:00:00+00,0,0,0,0,0
NA,43.49738694144573,-82.56263117297705,Cyo Girls Camp,CHLCMP,2019/06/06 00:00:00+00,0,0,0,0,0
26157,43.51439406008011,-83.18269291086766,Deford Community Church,SCH,2018/10/10 00:00:00+00,0,0,0,0,0
26157,43.519323073445605,-83.38947570089108,"Caro, City of",MUN,2018/10/10 00:00:00+00,0,0,0,0,0
26073,43.519969375216995,-84.68314241151037,Alexanders Mobile Village,MUN,2018/10/22 00:00:00+00,0,0,0,0,0
26073,43.52219591086055,-84.89006826843786,MORBARK INDUSTRIES,MUN,2023/01/30 00:00:00+00,0,0,0,10,0.005
26123,43.52703793632771,-85.61439766107841,HOPE NETWORK,MUN,2020/10/12 13:44:00+00,0,0,0,0,0
26151,43.53217099424849,-83.02656554742484,Bethany Christian School,SCH,2018/10/24 00:00:00+00,0,0,0,0,0
26073,43.54229486268658,-84.7344119553442,UNION TOWNSHIP,MUN,2020/10/08 00:00:00+00,6,0,0,3,0.6014999999999999
26073,43.54340859228406,-84.8379120591047,NA,MUN,2021/07/27 00:00:00+00,0,0,0,0,0
26157,43.54450017188917,-83.54370420015198,Akron - Fairgrove High School,SCH,2018/10/16 00:00:00+00,0,0,0,0,0
26107,43.54812291131435,-85.45897737291429,Huntey Clubhouse,DAYCARE,2018/12/06 00:00:00+00,0,0,0,0,0
26127,43.548460496694034,-86.4941184463393,Camp Miniwanca,CHLCMP,2019/05/31 00:00:00+00,0,0,0,0,0
26127,43.54885071747136,-86.39061319014046,Double-J Pro Shop/Loft Hotel,MOTEL,2019/08/07 00:00:00+00,0,0,0,0,0
26123,43.549212591989,-85.76953037965099,White Cloud,MUN,2018/09/19 00:00:00+00,0,0,0,0,0
26145,43.556228296634735,-84.16458684449913,Freeland Mobile Home Park,MUN,2018/08/28 00:00:00+00,0,0,0,0,0
26111,43.557856770475,-84.26809430801158,Yoder Apartments,MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26073,43.564597352124245,-84.78571934584465,Union Township,MUN,2019/12/18 00:00:00+00,17,0,0,4,1.702
26157,43.56509463243694,-83.49107307750688,Akron,MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26073,43.566638329434,-84.99280152796109,Bandit Industries,INDUS,2019/08/14 00:00:00+00,0,0,0,0,0
26107,43.56899635800804,-85.30344748767418,SUNSET SHORES,MUN,2021/06/29 00:00:00+00,0,0,0,3.7,0.00185
26127,43.57074393673527,-86.338976881062365,New Era Christian School,SCH,2018/11/05 00:00:00+00,0,0,0,3,0.0015
26123,43.57117503584784,-85.92477427696862,Five Cap-Hesperia Area Child Development,DAYCARE,2018/12/05 00:00:00+00,0,0,0,0,0
26123,43.57120867901127,-86.0283277337823,Hesperia,MUN,2020/06/30 00:00:00+00,0,0,0,39,0.0195
26073,43.5845537875681,-84.6299200732399,Odyssey High School,SCH,2018/10/18 00:00:00+00,0,0,0,0,0
26073,43.58576214155637,-84.7334901446781,Union Township,MUN,2018/10/18 00:00:00+00,0,0,0,0,0
26073,43.586876793307106,-84.83706460021087,"Mount Pleasant, City of",MUN,2018/10/18 00:00:00+00,2,0,0,2,0.201
26107,43.58965798371097,-85.1478095602701,Remus Apartment Company,MUN,2018/09/17 00:00:00+00,0,0,0,0,0
26151,43.59027520780571,-82.76461499544494,"Deckerville, Village of",MUN,2018/10/22 00:00:00+00,0,0,0,0,0
26107,43.59039728083999,-85.25139683610448,Medical Arts Building,MEDCAR,2019/07/26 00:00:00+00,0,0,0,0,0
26107,43.59159391620093,-85.45857698340473,Stanwood Learning Center,SCH,2018/09/17 00:00:00+00,0,0,0,0,0
26127,43.59231711567546,-86.39088603352675,New Era Migrant Headstart,DAYCARE,2019/06/20 00:00:00+00,0,0,0,0,0
26123,43.592857990947984,-85.87294638764976,White Cloud Spring Water,MUN,2021/12/09 00:00:00+00,0,0,0,0,0
26151,43.59865989611112,-83.07510645740206,Thumb MRI Center,MEDCAR,2019/07/18 00:00:00+00,0,0,0,0,0
26157,43.60126932409016,-83.17862808441805,"Cass City, Village of",MUN,2018/10/10 00:00:00+00,0,0,0,0,0
26111,43.602854681628436,-84.37042559421627,Countryside Mobile Home Park,MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26073,43.606902911960745,-84.68122447107564,Saginaw Chippewa Indian Tribe of Michigan - Mt. Pleasant,TRB,2018/10/18 00:00:00+00,0,0,0,0,0
26073,43.60806492196481,-84.78483401571289,MILL BROOK WATER MECOSTA,MUN,2020/10/19 16:09:59+00,0,0,0,0,0
26073,43.610107501030015,-84.99206515350264,BROOMFIELD VALLEY,MUN,2020/10/05 00:00:00+00,3,0,0,0,0.3
26107,43.611774463471455,-85.19930920423836,St Michael School,SCH,2018/09/17 00:00:00+00,0,0,0,0,0
26107,43.612466956881235,-85.30293488852949,Holiday Terrace,MUN,2018/09/12 00:00:00+00,0,0,0,0,0
26127,43.614210801232915,-86.33921274887965,Oceana Foods,INDUS,2019/08/02 00:00:00+00,0,0,0,0,0
26157,43.62169386809133,-83.12582879423145,Cole Carbide Industries Inc,INDUS,2019/07/18 00:00:00+00,0,0,0,0,0
26111,43.62224476092869,-84.2143979994085,"Midland, City of",MUN,2021/01/29 00:00:00+00,0,0,0,0,0
26111,43.626716417509286,-84.52528271795424,WEST MIDLAND FAMILY CENTER,MUN,2020/11/02 10:15:00+00,0,0,0,0,0
26073,43.62801961553283,-84.62892234145507,Mapleview Estates,MUN,2018/10/17 00:00:00+00,0,0,0,0,0
26107,43.63386757372907,-85.25084657469755,Mecosta Elementary,SCH,2018/09/13 00:00:00+00,0,0,0,0,0
26107,43.63506465520353,-85.45817623537133,Circle Drive Mobile Home Park,MUN,2018/09/12 00:00:00+00,0,0,0,0,0
26127,43.63539084337685,-86.49481529076506,Camp Miniwanca,CHLCMP,2019/05/31 00:00:00+00,0,0,0,0,0
26127,43.63639363283408,-86.08017676709814,Camp Tall Turf,CHLCMP,2019/05/22 00:00:00+00,0,0,0,0,0
26017,43.64314712165928,-84.1619225221186,Country Acres - Midland,MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26157,43.64722542205437,-83.28019683727847,"Gagetown, Village of",MUN,2018/10/10 00:00:00+00,0,0,0,0,0
26073,43.651532116530205,-84.78394729431716,Country Place,MUN,2018/10/22 00:00:00+00,0,0,0,0,0
26157,43.651985096749684,-83.48744334187269,"Unionville, Village of",MUN,2018/10/16 00:00:00+00,0,0,0,0,0
26073,43.6535763316005,-84.99132770302894,Happy Ending Ice Cream Plaza,DAYCARE,2018/12/06 00:00:00+00,0,0,0,0,0
26127,43.65767752732271,-86.33944960015293,Peterson Farms,INDUS,2019/08/02 00:00:00+00,0,0,0,0,0
26017,43.66038547986367,-83.90205419398471,Bay Area Water System,MUN,2019/04/25 00:00:00+00,0,0,0,0,0
26111,43.66570454173734,-84.21310068153849,Three Rivers Corp Pipe Shop,INDUS,2019/08/15 00:00:00+00,0,0,0,0,0
26157,43.66769612081645,-83.22738994872373,"Gagetown, Village of",MUN,2018/10/10 00:00:00+00,0,0,0,0,0
26073,43.674834626901195,-84.93909339448194,Coldwater Lake 4-H Camp,CHLCMP,2019/06/14 00:00:00+00,6,0,0,9,0.6044999999999999
26107,43.676597413785295,-85.1465588051231,Chippewa Hills High School,SCH,2019/12/18 00:00:00+00,12,0,0,0,1.2
26151,43.67712203568764,-82.75994527399418,"Minden City, Village of",MUN,2018/10/18 00:00:00+00,0,0,0,0,0
26107,43.678535125079,-85.45777511562925,Devries Day Care of Big Rapids,DAYCARE,2018/12/10 00:00:00+00,0,0,0,0,0
26127,43.67885584002762,-86.49516554449286,Grace Adventures,CHLCMP,2019/05/23 00:00:00+00,0,0,0,2,0.001
26127,43.679249519956464,-86.39143491591265,Hart,MUN,2018/11/05 00:00:00+00,0,0,0,0,0
26111,43.688239265196515,-84.26431721104325,Three Rivers Corporation,INDUS,2019/08/15 00:00:00+00,0,0,0,0,0
26111,43.69257682823847,-84.57554625301835,Kids Time,DAYCARE,2018/12/06 00:00:00+00,0,0,0,0,0
26073,43.694998932840164,-84.7830591659604,Rosebush Elementary,DAYCARE,2018/12/06 00:00:00+00,0,0,0,0,0
26157,43.695429415561904,-83.48562341913541,Usa Elementary School,SCH,2018/10/09 00:00:00+00,0,0,0,0,0
26073,43.69704481735299,-84.99058916092027,Weidman Elementary,SCH,2018/10/22 00:00:00+00,0,0,0,0,0
26107,43.70051072876804,-85.50946392786224,Big Rapids,MUN,2018/09/12 00:00:00+00,0,0,0,0,0
26127,43.70114411117978,-86.33968742557757,Hart,MUN,2018/11/05 00:00:00+00,0,0,0,0,0
26127,43.701396190230874,-86.23591457697566,Telamon Headstart,DAYCARE,2019/06/20 00:00:00+00,0,0,0,0,0
26127,43.70155354263661,-86.1321393167795,Walkerville Elementary School,SCH,2019/01/16 00:00:00+00,7,0,0,3,0.7014999999999999
26063,43.70314257064888,-82.91428277153547,"UBLY, VILLAGE OF",MUN,2021/05/19 00:00:00+00,0,0,0,0,0
26063,43.71599438288443,-83.4328410078956,Sebewaing Light & Water,MUN,2018/10/09 00:00:00+00,0,0,0,0,0
26107,43.72145349212864,-85.35355795420104,Cran Hill Ranch Youth Camp,CHLCMP,2019/06/10 00:00:00+00,0,0,0,0,0
26017,43.726512276597376,-83.95166079956799,Linwood Metro Water District,MUN,2019/04/25 00:00:00+00,0,0,0,0,0
26063,43.73410252569448,-83.2762570741964,"Owendale, Village of",MUN,2018/10/09 00:00:00+00,0,0,0,0,0
26111,43.734687736181144,-84.4706833512814,Robinson Industries,INDUS,2019/07/09 00:00:00+00,0,0,0,0,0
26111,43.73604103626324,-84.57450699309676,"COLEMAN, CITY OF",MUN,2022/07/27 00:00:00+00,0,0,0,8,0.004
26107,43.7439808378749,-85.50909982686854,Country Manor- Mecosta,MUN,2018/09/14 00:00:00+00,0,0,0,0,0
26127,43.744610549756416,-86.33992621487582,Hylander Valley,MUN,2018/11/05 00:00:00+00,0,0,0,0,0
26123,43.7447064846687,-85.71681014548172,BIG JACKSON PUBLIC SCHOOL,MUN,2022/06/06 08:29:59+00,0,0,0,0,0
26073,43.75841466530468,-84.62591926610432,Huhtamaki Plastics Inc.,INDUS,2019/07/09 00:00:00+00,0,0,0,0,0
26063,43.75943645239718,-83.43097881074704,Bayside Estates,MUN,2018/10/09 00:00:00+00,0,0,0,0,0
26107,43.763535557116256,-85.14530460378822,Barryton Elementary School,SCH,2018/09/13 00:00:00+00,0,0,0,0,0
26127,43.76679937411793,-86.08032636594348,OPC ARBRE FARMS-WILLOW COLD STORAGE,MUN,2020/12/21 10:09:59+00,0,0,0,2,0.001
26063,43.772390204313965,-83.06663492150346,Misty Meadows Mobile Home Park,MUN,2018/10/08 00:00:00+00,0,0,0,0,0
26111,43.77815019694833,-84.46956739807517,Robinson Industries,INDUS,2019/07/09 00:00:00+00,0,0,0,0,0
NA,43.78772790386486,-86.4440870915256,Pentwater,MUN,2018/11/06 00:00:00+00,0,0,0,0,0
26063,43.79275910484916,-83.0136486793974,Bad Axe Medical Clinic,MEDCAR,2019/09/20 00:00:00+00,0,0,0,0,0
26063,43.798005441181935,-83.22135782051744,Laker Elementary School,SCH,2018/10/08 00:00:00+00,0,0,0,0,0
26063,43.80048843857007,-83.32522992952846,L. J. Gascho Furniture,INDUS,2019/07/18 00:00:00+00,0,0,0,0,0
26073,43.80309273158685,-84.72885883907428,Clare Va Hospital,MEDCAR,2019/08/15 00:00:00+00,0,0,0,0,0
26063,43.81844576631572,-83.1683987492162,Clarkson-Riverview Court,MUN,2018/10/09 00:00:00+00,0,0,0,0,0
26035,43.825397068146295,-84.78038617260908,"Clare, City of",MUN,2019/06/28 00:00:00+00,12,0,0,6,1.2029999999999998
26035,43.826469868958696,-84.88437453310569,"Farwell, Village of",MUN,2018/11/12 00:00:00+00,0,0,0,0,0
26051,43.84113121999842,-84.31188409128576,Pleasant Beach Mobile Home Resort,MUN,2018/10/08 00:00:00+00,0,0,0,0,0
26035,43.84767820738426,-84.8319518932107,Mid Michigan Community Action Agency,DAYCARE,2018/12/06 00:00:00+00,0,0,0,0,0
26063,43.8478049898455,-82.64663766130305,"Harbor Beach, City of",MUN,2021/01/29 00:00:00+00,0,0,0,0,0
26035,43.84963562225795,-85.04001178561553,Camp Neyati,CHLCMP,2019/06/14 00:00:00+00,0,0,0,0,0
26133,43.851214438463856,-85.24808465156742,Day Star Academy,SCH,2018/09/11 00:00:00+00,0,0,0,0,0
26133,43.851861740447795,-85.35212474837135,CARGILL SALT - HERSEY,MUN,2020/12/21 00:00:00+00,0,0,0,0,0
26133,43.852414236493935,-85.45616664574074,White Birch Estates,MUN,2018/09/10 00:00:00+00,0,0,0,0,0
26105,43.853112657045074,-86.39254518812375,MICHIGAN FOOD PROCESSORS CO-OP,MUN,2021/03/30 12:00:00+00,0,0,0,0,0
26085,43.85367519088881,-85.87234260785067,"Clean Water Association, Inc.",MUN,2018/09/12 00:00:00+00,0,0,0,0,0
26051,43.86507378465101,-84.46732967667162,Beaverton,MUN,2018/10/08 00:00:00+00,0,0,0,0,0
26035,43.868862329299496,-84.77949225149469,JAYS SPORTING GOODS,MUN,2020/11/16 15:00:00+00,0,0,0,0,0
26035,43.86993609861534,-84.8835560178813,Farwell Alternative Education,SCH,2018/11/12 00:00:00+00,0,0,0,0,0
26133,43.87328429449399,-85.29984614641658,"Evart, City of",MUN,2018/09/10 00:00:00+00,0,0,0,0,0
26133,43.873884357621634,-85.40392504003641,Eagle Village,MUN,2018/09/10 00:00:00+00,0,0,0,0,0
26133,43.87438952430549,-85.50800551523275,City of Reed City,MUN,2018/09/10 00:00:00+00,0,0,0,0,0
NA,43.87465798602271,-86.44472122141156,Consumers Energy  Ludington,INDUS,2019/07/24 00:00:00+00,0,0,0,0,0
26051,43.8874952216576,-84.51881161591797,Beaverton Family Dentistry,MEDCAR,2019/09/19 00:00:00+00,0,0,0,0,0
26133,43.89468286490912,-85.2475300425354,"Evart, City of",MUN,2019/04/01 00:00:00+00,0,0,0,34,0.017
26133,43.89588330298643,-85.45576346285414,Eagle Village,MUN,2018/09/10 00:00:00+00,0,0,0,0,0
26105,43.896578071454336,-86.3928253058283,Heritage Hills Mobile Home Village,MUN,2019/06/21 00:00:00+00,0,0,0,12,0.006
26085,43.896971440002375,-85.76812258721121,Duvernay Park Apartments,MUN,2018/09/12 00:00:00+00,0,0,0,0,0
