geoid,latitude.x,longitude.x,system_name,system_type,sample_date,pfhxs_result,pfna_result,hfpoda_result,pfbs_result,hazard_index,nearest_facility,distance_m,longitude.y,latitude.y,county,address,city,zip_code,type,residential_wells_sampled,site_lead,site_lead_email,site_lead_phone,hyperlink,military,facility_date
26091,41.730541327368435,-84.21862142604988,Morenci,MUN,2018/08/24 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,25660.186470543707,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.770599984420805,-84.01619233736533,Silbond Corporation,INDUS,2019/07/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,13237.459944233911,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.81582773424597,-84.11546091520712,Sand Creek Elementary School,SCH,2018/08/24 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,12975.642890314837,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.819070983297735,-84.31678692736659,RATHMOURNE DAIRY LLC-12 MEDINA,MUN,2020/10/21 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,27923.058151960613,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.83301315371459,-83.86308830844703,Blissfield,MUN,2019/04/29 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,12375.258132142213,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.878372655878714,-83.9623452814736,Man Nor Farms Subdivision,MUN,2018/08/23 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,2749.897268014499,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.88017261672704,-84.06309999002826,"Birth, Toddler And Beyond",DAYCARE,2018/12/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,5895.769958830026,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.90102015377838,-84.0120263992747,Adrian,MUN,2019/04/29 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,2128.9295047700375,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.902776525661075,-84.11281807801412,Brookdale Adrian,MUN,2018/08/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,10067.717512771611,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.92364608766379,-84.06174262814467,Adrian,MUN,2021/01/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,6928.979836698063,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.944492828612944,-84.01063391751639,Lenawee Adult & Pediatric Medicine,MEDCAR,2019/07/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,6415.316987099261,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.963425627584286,-83.85860660499326,FRENCHTOWN TOWNSHIP,MUN,2020/12/15 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,13885.548011541268,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.96531670326409,-83.95949196321043,Lake Arrowhead Estates,MUN,2018/08/23 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,8988.59942467424,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.9671192048867,-84.0603833992664,Lisd Center For Sustainable Future,SCH,2018/08/23 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,10393.353695526102,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.97045824766608,-84.26218280541785,Round Lake Estates,MUN,2018/08/29 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,24087.297648315525,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.98418158810469,-83.80740039170087,Britton,MUN,2018/08/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,18669.521818077694,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.9861176661602,-83.90831678240696,Stepping Stones Learning,DAYCARE,2018/12/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,12919.981931868211,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.99139403060981,-84.21110215349836,Onsted,MUN,2018/08/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,21388.98844837904,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,41.99297533078981,-84.31204125842457,Bean Creek Resort,MUN,2018/08/28 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,28858.672278791022,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.00689567070235,-83.85710839230595,Britton,MUN,2018/08/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,17307.46992143298,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.00878816630611,-83.95806227418359,"Apple Tree Learning Center, LLC",DAYCARE,2018/12/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,13694.916563566028,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.0123070074968,-84.15998800307496,Onsted,MUN,2018/08/22 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,19526.218707019587,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.05225924957868,-83.95663054127611,Clinton,MUN,2018/08/03 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,18467.93356356489,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.054064363770465,-84.05765927102647,Country Villa Estates,MUN,2018/08/24 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,19191.67970660746,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.05578059855447,-84.15869375798819,Judson Collins Center Maumc,CHLCMP,2019/05/23 00:00:00+00,0,0,0,0,0,Adrian Landfill Incorporated,23126.069443471144,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
26091,42.05740789573922,-84.25973357287106,MICHIGAN INTERNATIONAL SPEEDWAY,MUN,2020/12/01 09:59:59+00,0,0,0,0,0,Adrian Landfill Incorporated,28992.205804226778,-83.992735,41.888357,Lenawee County,1970 Ogden Highway,Adrian,49221,Landfill,No,Brett Coulter,CoulterB1@Michigan.gov,517-614-7714,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lenawee-county/adrian-landfill-incorporated,No,2020/05/26 00:00:00+00
